2023-02-15 23:27:38,007 INFO    MainThread:304168 [wandb_setup.py:_flush():68] Configure stats pid to 304168
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_setup.py:_flush():68] Loading settings from /home1/09012/haoli1/.config/wandb/settings
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_setup.py:_flush():68] Loading settings from /work/09012/haoli1/ls6/hurricane/code/wandb/settings
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'hurr_u_net_2d0.2.py', 'program': '/work/09012/haoli1/ls6/hurricane/code/hurr_u_net_2d0.2.py'}
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_init.py:_log_setup():476] Logging user logs to /work/09012/haoli1/ls6/hurricane/code/wandb/run-20230215_232738-2igw6x83/logs/debug.log
2023-02-15 23:27:38,008 INFO    MainThread:304168 [wandb_init.py:_log_setup():477] Logging internal logs to /work/09012/haoli1/ls6/hurricane/code/wandb/run-20230215_232738-2igw6x83/logs/debug-internal.log
2023-02-15 23:27:38,009 INFO    MainThread:304168 [wandb_init.py:init():516] calling init triggers
2023-02-15 23:27:38,009 INFO    MainThread:304168 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-02-15 23:27:38,009 INFO    MainThread:304168 [wandb_init.py:init():569] starting backend
2023-02-15 23:27:38,009 INFO    MainThread:304168 [wandb_init.py:init():573] setting up manager
2023-02-15 23:27:38,011 INFO    MainThread:304168 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-15 23:27:38,014 INFO    MainThread:304168 [wandb_init.py:init():580] backend started and connected
2023-02-15 23:27:38,017 INFO    MainThread:304168 [wandb_init.py:init():658] updated telemetry
2023-02-15 23:27:38,119 INFO    MainThread:304168 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-02-15 23:27:38,462 INFO    MainThread:304168 [wandb_run.py:_on_init():2006] communicating current version
2023-02-15 23:27:38,515 INFO    MainThread:304168 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-02-15 23:27:38,515 INFO    MainThread:304168 [wandb_init.py:init():728] starting run threads in backend
2023-02-15 23:27:38,684 INFO    MainThread:304168 [wandb_run.py:_console_start():1986] atexit reg
2023-02-15 23:27:38,684 INFO    MainThread:304168 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-02-15 23:27:38,685 INFO    MainThread:304168 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-02-15 23:27:38,685 INFO    MainThread:304168 [wandb_run.py:_redirect():1931] Redirects installed.
2023-02-15 23:27:38,685 INFO    MainThread:304168 [wandb_init.py:init():765] run started, returning control to user process
2023-02-15 23:27:38,686 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set model_name = UNet - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,686 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb model_name UNet None
